latitude,longitude,brightness,frp,frp_category,acq_date
46.8212,-100.5764,301.9,11.3,1,2024-02-12
48.0598,-98.9012,312.3,16.8,1,2024-02-14
46.1972,-100.7552,303.4,14.3,1,2024-02-17
48.7147,-99.7663,315.5,20.4,2,2024-02-18
46.9194,-98.5989,320.3,68.6,3,2024-02-21
46.929,-98.5749,306.5,30.9,2,2024-02-21
46.9272,-98.6081,313.3,49.2,2,2024-02-21
47.2865,-98.5008,307.4,50.8,3,2024-02-26
47.2821,-98.5092,306.5,47.7,2,2024-02-26
45.9428,-96.6735,306.1,12.7,1,2024-03-12
45.9433,-96.6834,307.0,6.9,1,2024-03-12
48.1899,-97.1446,300.9,6.0,1,2024-03-14
46.8492,-103.5119,313.7,16.4,1,2024-03-15
46.8464,-103.5268,308.1,11.1,1,2024-03-15
46.1092,-102.5382,335.0,40.3,2,2024-03-18
46.1109,-102.5237,320.9,19.5,1,2024-03-18
46.0998,-102.536,373.6,153.1,3,2024-03-18
46.1015,-102.5214,354.3,83.8,3,2024-03-18
48.6866,-97.4734,305.5,8.8,1,2024-03-21
48.6884,-97.487,300.0,5.5,1,2024-03-21
48.5123,-98.1399,319.4,19.9,1,2024-03-22
48.7523,-98.3652,301.7,11.5,1,2024-03-25
48.2274,-98.2242,314.1,17.7,1,2024-04-01
48.0267,-103.2404,302.4,5.3,1,2024-04-03
47.1961,-98.8231,301.2,8.4,1,2024-04-03
46.5735,-100.8679,304.5,9.1,1,2024-04-03
46.9586,-103.5081,303.2,4.2,1,2024-04-03
46.9576,-103.5313,308.6,6.9,1,2024-04-03
47.5189,-98.4311,376.7,138.6,3,2024-04-03
47.517,-98.444,319.7,15.3,1,2024-04-03
47.8423,-98.0489,401.3,261.3,3,2024-04-03
47.8404,-98.062,333.7,32.6,2,2024-04-03
46.9511,-103.5102,308.4,6.8,1,2024-04-03
46.9477,-103.5272,314.8,14.3,1,2024-04-03
46.9609,-103.5145,309.2,7.4,1,2024-04-03
48.3977,-102.913,319.0,22.1,2,2024-04-03
47.8463,-99.0441,303.7,3.6,1,2024-04-03
48.237,-99.3587,309.9,4.9,1,2024-04-03
48.4524,-98.6514,308.5,5.4,1,2024-04-03
47.9352,-101.8784,305.2,6.5,1,2024-04-03
47.9327,-101.8929,314.0,14.0,1,2024-04-03
45.9679,-98.0196,300.2,6.0,1,2024-04-04
48.3432,-98.3113,314.6,70.4,3,2024-04-04
48.5088,-98.8064,305.9,30.9,2,2024-04-04
48.5154,-98.8069,305.1,29.6,2,2024-04-04
48.3528,-98.3253,312.0,52.0,3,2024-04-04
48.365,-98.2825,312.2,52.7,3,2024-04-04
48.3553,-98.2684,305.4,29.3,2,2024-04-04
48.3592,-98.2831,306.0,18.1,1,2024-04-04
48.3574,-98.318,307.2,21.2,2,2024-04-04
48.9715,-98.5712,308.2,28.1,2,2024-04-04
48.1886,-98.377,322.4,29.1,2,2024-04-05
48.0626,-98.4929,300.7,4.6,1,2024-04-05
48.0602,-98.4789,315.3,15.6,1,2024-04-05
47.5002,-96.9581,320.2,21.2,2,2024-04-05
47.8359,-99.6794,323.4,23.0,2,2024-04-05
48.2085,-97.8717,302.6,4.5,1,2024-04-05
48.2059,-97.8571,310.1,10.2,1,2024-04-05
47.4929,-96.9597,313.3,8.4,1,2024-04-05
47.4985,-96.9672,310.1,5.6,1,2024-04-05
47.3988,-98.5069,308.4,9.5,1,2024-04-06
47.698,-97.2758,324.2,43.5,2,2024-04-06
47.6961,-97.299,321.2,36.3,2,2024-04-06
48.5179,-98.9562,304.3,9.0,1,2024-04-06
48.9,-101.1848,315.3,34.2,2,2024-04-09
48.9018,-101.2126,311.3,25.3,2,2024-04-09
48.4636,-98.5692,337.4,159.9,3,2024-04-09
48.467,-98.5784,319.7,60.9,3,2024-04-09
46.816,-98.3107,322.8,19.8,1,2024-04-10
46.9967,-97.7129,305.5,4.8,1,2024-04-10
46.9905,-97.752,308.1,6.8,1,2024-04-10
46.9885,-97.7651,306.3,5.5,1,2024-04-10
47.0272,-97.6932,316.4,43.2,2,2024-04-11
47.029,-97.7214,300.5,10.3,1,2024-04-11
47.01,-103.4888,306.2,22.8,2,2024-04-11
46.9977,-103.4949,328.9,90.7,3,2024-04-11
46.9853,-103.5011,305.2,19.9,1,2024-04-11
47.0024,-103.5237,313.1,10.1,1,2024-04-11
47.0235,-97.7105,313.8,39.3,2,2024-04-11
46.0487,-98.0395,337.0,35.6,2,2024-04-12
46.0506,-98.0522,326.7,21.3,2,2024-04-12
46.2106,-98.1285,310.6,7.5,1,2024-04-12
46.2125,-98.1412,319.3,15.2,1,2024-04-12
48.3563,-98.4875,348.2,85.6,3,2024-04-12
46.2279,-98.3727,320.1,24.4,2,2024-04-12
46.224,-98.3917,317.1,18.6,1,2024-04-12
46.2384,-98.3772,317.1,18.5,1,2024-04-12
46.2345,-98.3962,316.6,17.0,1,2024-04-12
46.8247,-98.1815,315.0,16.0,1,2024-04-12
48.2181,-97.6784,310.5,6.0,1,2024-04-12
48.2149,-97.695,311.0,7.2,1,2024-04-12
48.1448,-99.0682,311.9,12.8,1,2024-04-12
48.142,-99.0529,313.7,15.4,1,2024-04-12
48.3528,-98.5054,363.4,147.3,3,2024-04-12
48.3519,-98.4906,355.1,110.7,3,2024-04-12
48.3483,-98.5085,336.2,52.5,3,2024-04-12
48.9574,-99.2779,325.6,36.1,2,2024-04-12
48.9713,-99.2892,332.2,51.1,3,2024-04-12
48.9752,-99.2704,312.3,15.3,1,2024-04-12
48.9611,-99.2843,342.2,78.3,3,2024-04-12
48.965,-99.2655,317.7,23.4,2,2024-04-12
46.0748,-98.0129,314.4,10.3,1,2024-04-13
46.3603,-102.3585,320.8,8.3,1,2024-04-13
46.3584,-102.3711,320.7,8.0,1,2024-04-13
47.9105,-98.5368,308.0,7.8,1,2024-04-13
47.9088,-98.5532,319.0,19.6,1,2024-04-13
48.152,-98.5559,356.9,98.4,3,2024-04-13
48.1502,-98.5725,381.7,213.2,3,2024-04-13
48.1825,-98.4604,316.9,10.3,1,2024-04-13
48.1931,-98.4511,323.0,14.5,1,2024-04-13
48.1791,-98.5849,323.6,19.1,1,2024-04-13
48.2047,-98.4367,321.5,12.4,1,2024-04-13
48.203,-98.4535,396.8,318.9,3,2024-04-13
48.2306,-98.2861,318.3,11.7,1,2024-04-13
48.3724,-98.2028,326.7,26.0,2,2024-04-13
48.3237,-98.6609,316.5,7.6,1,2024-04-13
48.3219,-98.6775,317.5,8.4,1,2024-04-13
48.3825,-98.2051,383.3,237.3,3,2024-04-13
48.3807,-98.2225,357.8,109.3,3,2024-04-13
48.9524,-99.2878,328.1,35.9,2,2024-04-14
48.9503,-99.3012,318.2,20.8,2,2024-04-14
48.9486,-99.2826,324.8,31.3,2,2024-04-14
48.5402,-98.9226,309.3,6.8,1,2024-04-14
48.2269,-98.347,319.8,17.2,1,2024-04-14
48.2171,-98.3492,339.8,52.1,3,2024-04-14
48.2154,-98.3329,318.8,15.4,1,2024-04-14
48.2164,-98.3561,319.1,15.7,1,2024-04-14
48.2147,-98.3398,325.0,23.9,2,2024-04-14
48.2057,-98.4427,328.6,30.2,2,2024-04-14
48.2039,-98.4262,320.3,17.8,1,2024-04-14
48.4896,-101.6518,335.7,74.6,3,2024-04-14
48.4878,-101.6281,339.9,88.5,3,2024-04-14
48.1959,-98.4449,326.5,27.1,2,2024-04-14
48.1941,-98.4284,320.3,18.2,1,2024-04-14
48.4762,-101.63,337.1,80.8,3,2024-04-14
48.0512,-98.4168,313.5,11.4,1,2024-04-14
46.2139,-97.4292,318.4,31.0,2,2024-04-14
46.2261,-97.4353,312.9,14.6,1,2024-04-14
46.3496,-97.2057,317.5,28.3,2,2024-04-14
46.3617,-97.2116,322.9,45.3,2,2024-04-14
46.486,-97.5548,312.0,14.6,1,2024-04-14
47.1462,-97.1353,321.7,35.4,2,2024-04-14
47.1404,-97.1603,336.9,90.1,3,2024-04-14
48.1075,-98.6416,316.2,30.6,2,2024-04-14
48.1129,-98.6198,308.8,13.9,1,2024-04-14
48.106,-98.6481,312.4,21.8,2,2024-04-14
48.1723,-98.4313,321.6,46.6,2,2024-04-14
48.2162,-98.3621,336.6,103.7,3,2024-04-14
48.2097,-98.3894,358.3,236.5,3,2024-04-14
48.3498,-98.3162,314.9,27.5,2,2024-04-14
48.3434,-98.3433,309.1,13.8,1,2024-04-14
48.3504,-98.3241,319.3,37.3,2,2024-04-14
48.2917,-99.2988,331.0,88.3,3,2024-04-14
48.2842,-99.329,321.9,51.4,3,2024-04-14
48.3002,-99.311,331.8,89.6,3,2024-04-14
48.9519,-99.3115,312.9,25.7,2,2024-04-14
48.115,-98.5979,312.8,70.5,3,2024-04-14
48.1139,-98.6544,317.9,104.1,3,2024-04-14
47.9147,-99.0576,303.6,10.7,1,2024-04-20
47.2212,-101.023,311.2,8.3,1,2024-04-20
47.2192,-101.0359,358.5,80.6,3,2024-04-20
47.4656,-100.1087,304.9,5.5,1,2024-04-20
46.7381,-97.8987,314.4,15.4,1,2024-04-21
46.6167,-97.5625,307.4,4.5,1,2024-04-21
46.3915,-97.9189,323.3,81.3,3,2024-04-21
47.5493,-97.3533,310.6,14.8,1,2024-04-21
47.5414,-97.385,312.7,21.9,2,2024-04-21
47.5424,-97.3539,313.1,21.0,2,2024-04-21
46.5962,-98.9863,310.9,33.0,2,2024-04-21
